"loss","RandomValue","id","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f13","f778"
37,0.23,21260,125,10,0.44,1800,7,8141,1161,403,128.40,126.33,14,47
12,0.26,31995,130,8,0.70,1800,16,76973,3645,5647,127.73,129.28,10,394
11,0.50,46273,147,4,0.93,3600,10,81447,2941,298,153.19,148.63,14,36
4,0.92,81502,130,8,0.09,2200,4,83607,2923,1453,127.00,129.00,7,54
2,0.69,90174,154,8,0.55,5600,1,82134,1921,2502,153.99,154.00,9,24
2,0.99,56428,129,10,0.36,1500,16,84020,1813,137,128.25,128.73,11,1079
1,0.17,103329,154,8,0.82,4400,3,12290,7929,639,156.72,154.75,11,4
2,0.57,26642,136,6,0.95,1800,16,78224,4293,1878,133.49,135.96,16,1079
33,0.01,81868,147,7,0.26,3600,4,77061,267,219,148.75,147.39,9,67
2,0.50,10079,135,8,0.08,1100,4,78223,3877,7438,131.05,134.17,9,22
6,0.51,24223,133,8,0.18,4800,10,6075,126,750,141.84,135.05,10,9
1,0.22,99518,115,8,0.27,2200,4,80421,9871,2580,119.25,115.41,9,5
2,0.35,61886,166,6,0.41,5800,4,9482,7880,1307,159.90,164.10,8,36
4,0.85,28383,121,9,0.30,3100,4,77014,145,2231,120.32,120.39,12,16
2,0.65,94031,127,9,0.37,3500,16,78252,1494,3313,128.97,127.77,11,1079
4,0.49,37568,123,8,0.35,1800,16,11255,2704,1912,125.00,123.64,12,1083
8,0.68,65830,147,8,0.99,3500,7,78446,2316,2259,148.63,147.38,11,3
33,0.66,28800,119,10,0.21,3500,16,7399,6829,967,123.44,120.07,13,1079
100,0.04,45912,115,9,0.20,1500,16,7458,7423,2212,120.62,116.20,9,393
7,0.13,44874,145,4,0.90,5700,13,76849,2648,3396,149.72,146.26,13,32
3,0.57,72736,160,8,0.21,4500,3,79281,1875,3387,159.00,160.12,11,25
1,0.82,50380,122,10,0.02,1300,16,3572,3686,305,121.90,121.58,11,513
3,0.30,49015,151,8,0.13,4400,10,6075,450,1593,153.49,151.23,11,16
2,0.36,14727,133,10,0.67,2200,4,84020,94,490,123.85,130.70,16,6
18,0.16,98333,127,6,0.18,1100,4,82379,1383,2207,128.56,127.31,19,2
4,0.48,13951,128,7,0.72,1300,7,78224,6858,2386,127.88,128.06,7,2
10,0.34,83519,122,8,0.59,1500,4,8563,6569,1356,122.84,122.01,14,37
5,0.45,21750,124,8,0.99,1100,7,13641,4298,2726,128.39,125.11,13,6
2,0.44,62240,129,8,0.35,1800,17,12780,7920,3791,127.44,128.25,9,394
23,0.18,71195,145,8,0.30,5200,3,75880,1206,911,146.25,145.07,9,14
3,0.82,63146,140,7,0.71,4300,7,83733,559,622,144.03,141.02,5,12
6,0.56,24509,123,8,0.50,1500,4,13699,6182,5326,124.36,123.17,10,10
4,0.80,63573,154,8,0.13,4200,13,80502,526,1267,156.07,154.41,9,73
7,0.36,50697,128,10,0.67,2600,16,82768,228,3885,131.47,128.35,11,394
6,0.71,102489,123,10,0.43,1500,4,76831,2515,1124,123.75,123.01,15,104
3,0.76,69080,128,10,0.86,2200,16,9836,4664,757,124.85,127.20,10,393
4,0.75,100203,150,8,0.84,3900,4,10590,7900,1320,154.92,151.03,14,35
4,0.06,63488,153,8,0.33,4200,10,80135,579,6565,154.87,153.47,9,67
1,0.25,80369,164,8,0.77,4700,3,14234,7756,480,160.29,163.50,8,18
21,0.46,11461,124,10,0.43,1300,4,80385,573,336,120.54,123.04,10,10
4,0.94,60905,155,10,0.22,3500,4,76025,666,2243,155.00,155.10,11,10
2,0.85,63828,116,10,0.47,1800,17,13700,9410,3048,119.55,116.62,11,394
3,0.04,22705,125,4,0.63,1800,10,1344,6166,2386,122.66,124.26,10,5
12,0.90,99540,120,9,0.07,1100,4,14629,379,1931,123.13,120.60,7,5
1,0.47,101196,140,10,0.20,2600,4,80421,4010,6114,133.10,138.85,8,7
4,0.03,66002,156,9,0.09,5000,3,10590,5255,3786,156.66,156.05,11,27
20,0.46,41156,156,8,0.64,4400,4,13499,2722,1003,158.34,156.10,7,23
8,3.12167406082153e-03,77395,124,8,0.36,1800,4,14213,5579,117,126.25,124.33,8,93
39,0.35,17296,155,8,0.84,5000,3,81661,1433,162,157.54,155.60,11,84
33,0.12,12353,129,9,0.85,1600,4,2572,1465,7554,127.75,128.55,11,85
5,0.30,94698,131,8,0.85,1100,3,2572,6948,8849,130.50,130.98,9,22
4,0.46,49809,150,8,0.49,4200,7,79663,1894,3942,148.50,149.70,16,14
6,0.29,84948,143,8,0.83,5900,1,76136,1925,678,147.23,143.67,13,57
2,0.51,12918,164,7,0.58,5000,3,76635,2941,1985,164.00,164.19,5,35
5,0.64,81236,159,8,0.05,4400,3,79754,601,599,157.15,158.70,11,57
31,0.08,77039,119,10,0.88,2200,4,86069,2160,513,122.43,119.71,15,5
3,0.74,95926,123,8,0.20,2700,4,14213,276,312,122.33,122.60,8,17
3,0.48,78009,133,4,0.32,1300,4,82642,1698,5257,127.12,131.79,10,40
100,0.02,7830,129,4,0.73,1100,4,78252,7898,2449,129.00,129.00,25,2
2,0.32,12998,126,8,0.27,1100,4,76872,915,1247,124.81,125.65,10,16
1,0.11,84065,122,6,0.92,1300,3,84020,6828,8580,125.32,122.86,7,15
5,0.34,95935,131,8,0.14,2200,4,13700,4708,500,130.42,131.16,8,17
9,0.81,4749,122,9,0.56,1100,4,83241,952,1023,122.59,122.10,11,5
3,0.15,92316,133,8,0.94,1300,3,82642,1800,376,132.85,133.12,8,10
2,0.31,79330,122,9,0.50,1100,4,77825,807,10,121.94,122.00,9,38
16,0.91,22710,126,9,0.37,1300,10,13689,52,683,128.64,126.67,9,5
1,0.83,16670,123,10,0.33,1300,17,8417,5287,5141,122.50,123.05,7,1083
2,0.12,99601,133,9,0.53,3100,10,79371,7017,8237,125.32,130.92,7,23
10,0.52,88708,132,10,0.64,1300,4,1131,3983,362,125.74,130.53,14,104
21,0.23,71716,152,8,0.64,3700,10,79293,1396,825,153.75,152.31,12,11
5,0.31,105357,120,10,0.19,1300,7,76957,7302,7159,122.50,120.21,7,22
3,0.67,91437,166,7,0.65,3900,3,9482,8226,794,162.16,165.24,5,35
24,0.19,69049,119,6,0.38,2600,16,7458,1245,3108,121.99,119.38,9,393
2,0.49,54961,124,9,0.36,2100,16,79371,42,21,124.38,124.14,11,513
3,0.94,64580,129,9,0.49,1800,16,13008,4309,407,128.38,128.96,9,393
3,0.75,17183,124,8,0.97,2600,17,2494,6878,3370,123.75,123.75,14,1079
3,0.32,19575,130,4,0.86,1300,4,2494,6324,5235,129.16,129.64,13,13
22,0.28,97661,128,9,0.89,1800,4,2496,1695,1433,128.50,128.10,12,54
19,0.32,72362,161,8,0.14,4400,2,13332,1901,371,157.50,160.14,14,4
1,0.60,74262,130,9,0.07,1900,16,627,4532,6272,126.75,129.15,11,513
1,0.96,67250,158,9,0.44,4400,4,86025,539,1276,154.50,157.30,9,24
5,0.98,8871,124,6,0.10,3100,4,78252,3807,2796,126.53,124.74,8,21
13,0.61,49667,166,8,0.57,4100,10,80135,2615,598,165.80,166.33,9,36
4,0.88,101059,126,9,0.11,1100,4,8141,7428,10087,125.50,125.82,8,54
4,7.02142715454102e-03,9308,145,9,0.60,5700,3,78365,133,345,143.74,144.53,14,24
5,0.50,85134,125,8,0.40,1300,4,13317,8173,2615,127.04,125.55,7,49
5,0.35,47357,166,8,0.35,5300,10,13499,2772,1067,162.58,165.00,9,14
5,0.94,20825,167,9,0.53,4400,3,80135,1687,70,166.70,166.92,11,101
19,0.16,653,161,8,0.12,3600,3,76635,2040,1858,156.68,159.94,7,27
20,0.24,9445,139,7,0.97,1100,16,78252,7916,2232,131.70,137.53,9,393
2,0.70,47910,152,8,0.92,4400,4,8423,3011,1269,152.32,151.85,10,16
5,0.44,92792,128,8,0.53,1100,4,79015,4128,818,126.50,127.38,6,6
7,0.28,91697,126,8,0.55,1100,4,14184,731,2159,128.44,126.71,12,52
3,0.27,44704,154,4,0.36,3600,4,81409,1188,2330,154.11,154.16,5,23
4,0.74,37924,150,7,0.46,5400,13,76635,3054,3920,153.90,151.13,10,8
1,0.18,104163,129,9,0.71,1300,7,78223,2207,8304,128.75,129.00,8,22
15,0.79,17358,132,10,0.09,3600,4,2497,3920,1260,125.25,130.75,14,12
6,0.81,105441,124,10,0.81,1500,16,81293,5348,1430,120.82,122.92,13,1079
14,0.15,59575,129,10,0.09,1500,16,82384,3821,1367,127.79,128.81,10,393
5,0.14,82650,129,8,0.37,1800,4,2494,5065,2866,127.63,128.69,11,21
6,0.55,82316,141,9,0.15,2600,4,9290,64,1346,132.03,139.19,11,38
79,0.88,59389,145,6,0.13,4500,4,80544,694,420,148.23,145.09,14,61
8,0.13,101460,133,9,0.72,1300,3,11699,20,4239,130.71,132.81,10,3
14,0.84,93760,122,8,0.40,2200,7,76957,335,2517,126.85,122.44,8,46
5,0.79,44338,141,6,0.89,2700,17,1078,5968,3347,136.63,140.07,11,513
1,0.34,79561,154,9,0.31,3500,2,13878,3059,551,158.00,154.48,8,41
6,0.47,91003,129,7,0.87,1800,17,78935,8000,1901,127.79,129.08,8,1079
4,0.93,83042,151,9,0.40,3600,2,82602,95,227,148.92,150.47,13,25
1,0.43,104961,130,10,0.93,1300,4,76957,470,7150,125.08,128.91,15,49
8,4.13912534713745e-03,76289,120,9,0.15,1300,4,75464,787,6322,121.98,120.06,14,22
2,0.02,12076,121,9,0.15,1800,4,393,7372,3081,122.00,121.03,11,23
11,0.96,52536,132,10,0.99,1500,17,83442,2354,1567,129.45,131.42,14,394
2,0.56,67674,128,4,0.58,2200,16,12780,7749,2603,125.75,126.94,8,1079
7,0.14,50886,142,8,0.69,5300,4,78932,322,1664,146.80,143.37,16,26
5,0.25,98168,122,10,0.15,1800,4,76957,94,3526,124.20,122.86,9,37
1,0.54,87207,116,9,0.07,1300,4,87647,208,4389,119.25,116.77,13,104
14,0.23,20175,119,8,0.17,1800,16,81679,764,2672,124.09,120.09,12,1079
9,0.18,79839,129,8,0.02,1100,7,76957,6938,6646,128.49,129.07,13,107
11,0.22,68483,126,10,0.60,1500,16,10845,1197,216,124.21,125.90,12,393
8,0.59,32604,124,4,0.60,1100,3,75464,4169,6117,126.24,124.26,12,38
8,0.45,86778,154,8,0.88,4700,3,82134,1903,422,152.32,153.94,11,61
1,0.65,8192,126,9,0.58,1500,16,393,3943,5762,126.00,126.00,9,1079
17,0.66,55102,114,8,0.32,2600,15,510,496,2798,120.00,115.18,10,394
4,0.97,103127,133,10,0.98,1800,16,13317,6921,11472,129.29,132.04,11,393
27,0.46,85479,153,9,0.91,3500,1,13164,721,1724,150.00,152.08,12,84
100,0.38,90867,110,9,0.16,1300,3,82122,40,586,114.75,110.76,11,52
11,0.39,58343,125,10,0.37,1500,17,79649,1623,2313,124.05,124.84,10,1079
3,0.29,33646,130,10,0.81,2800,7,78223,397,3807,136.21,132.34,9,85
5,0.27,41196,150,8,0.81,3500,4,75930,2311,712,150.04,149.92,14,83
6,0.96,71895,145,6,0.21,4400,1,8423,594,1485,149.57,145.75,9,3
21,0.94,54720,141,7,0.93,3500,13,10471,55,10,150.95,142.99,11,90
3,0.98,86209,124,9,0.68,1300,4,79244,2893,9765,123.25,124.13,5,7
4,0.36,44870,163,6,0.32,4400,13,76635,3141,2280,154.42,160.57,9,32
4,0.44,87517,129,9,0.65,2200,4,13026,5280,1485,129.00,128.93,12,54
1,0.49,5161,118,6,0.23,2200,4,79202,5536,3903,121.00,118.20,12,17
1,0.64,95512,122,9,0.45,3100,7,76973,4148,2068,120.15,121.25,5,104
5,0.77,20269,140,7,0.17,2600,4,11255,5277,2684,135.64,139.44,15,46
33,0.29,54082,145,9,0.58,3500,10,14044,214,1291,147.75,145.87,14,34
24,0.93,61929,132,9,0.74,2600,16,83442,4293,1222,130.08,131.46,9,393
25,0.60,25205,120,10,0.70,1300,4,84773,76,1329,119.36,119.75,13,49
6,0.33,90565,130,10,0.33,2200,4,86592,7896,191,128.19,129.44,6,7
15,0.60,15007,135,10,0.63,1500,17,82621,7086,1888,132.09,134.05,12,1079
8,0.32,27469,130,7,0.40,2200,7,75506,3836,10193,128.97,129.78,11,54
4,0.74,81826,117,8,0.05,1800,4,82642,1727,5289,121.25,117.71,8,46
2,0.17,104707,125,8,0.69,1100,4,77826,408,3585,125.50,125.32,6,54
1,0.51,45222,119,9,0.75,1800,16,79884,2981,2448,122.50,119.70,5,394
2,0.51,15579,140,9,0.30,2000,7,82231,1594,3432,132.69,138.67,7,22
3,0.60,32427,130,9,0.03,3100,4,6901,1266,2035,124.75,128.80,13,52
17,0.50,2187,126,10,0.43,1500,4,83445,652,3267,124.20,125.59,10,30
28,0.97,13044,133,9,0.26,2700,10,82384,3974,2692,130.50,132.42,8,49
8,0.02,22877,121,10,0.58,1300,17,81149,1366,1728,120.76,121.06,12,513
5,0.70,97634,133,10,0.34,2600,4,78920,9840,3685,130.25,132.57,8,19
5,0.63,76256,153,9,0.30,1800,4,76957,2992,856,138.47,149.76,16,22
7,0.63,29243,131,8,0.89,1800,13,78223,4100,7667,128.58,130.30,12,3
7,0.18,34132,145,9,0.98,5400,3,79631,349,712,142.62,144.48,15,83
3,0.07,75155,126,4,0.57,1800,4,79202,6457,4302,125.13,125.73,5,2
10,0.21,25852,124,9,0.66,1800,15,13641,5361,2733,125.00,124.20,14,394
33,0.07,2017,124,6,0.51,2200,4,76973,6046,8618,125.24,124.35,13,47
9,0.54,21918,128,8,0.69,3100,7,83607,2323,1224,128.32,128.17,10,54
17,0.14,14526,126,9,0.61,1100,4,14234,3669,882,129.15,127.20,13,93
1,0.77,101757,117,10,0.49,1800,3,79004,3396,7080,120.10,117.34,5,47
1,0.28,63099,154,8,0.40,5400,10,76730,5222,229,153.84,154.44,6,3
17,0.49,47332,151,7,0.45,7000,13,8550,2904,495,155.15,152.38,14,14
13,0.80,100475,158,8,0.39,4200,4,77061,3848,2260,154.94,157.12,10,39
9,0.48,44594,124,4,0.12,2200,16,79582,7295,3758,125.18,124.23,11,393
12,0.31,57380,157,10,0.14,2400,16,354,180,5772,137.45,152.94,12,394
23,0.17,5455,128,10,0.93,1500,4,75610,1945,247,125.40,127.76,10,7
3,0.72,96773,125,10,0.66,3600,4,8563,294,2863,122.53,124.84,12,6
41,0.16,70350,153,9,0.41,5700,2,7891,2326,756,150.66,151.88,12,8
1,0.27,77736,126,9,0.08,1800,4,10845,5705,55,125.50,125.98,9,40
4,0.58,25517,124,10,0.09,1100,4,80399,5959,5987,123.25,124.13,11,19
13,0.91,2802,119,10,0.13,1500,4,14213,416,1167,119.24,118.91,16,104
11,0.55,80962,109,9,0.67,3100,4,393,338,792,116.45,110.56,7,104
2,0.48,26482,129,9,0.05,2200,16,9290,4287,6001,131.78,130.02,11,1083
5,0.02,88094,121,8,0.48,1800,4,79782,5099,3299,125.55,121.53,6,15
1,0.58,59114,157,8,0.93,4400,13,77061,7843,5654,155.71,156.86,11,24
15,0.82,95204,114,10,0.57,3100,16,79782,928,414,116.09,114.27,13,513
13,0.01,101279,126,9,0.14,1100,16,83554,1724,726,125.63,125.97,5,393
2,0.67,48255,125,10,0.12,1500,16,75464,419,1175,124.92,124.91,12,394
12,0.22,76805,125,9,0.44,1600,4,14694,2143,195,125.88,125.11,14,12
29,0.36,49853,161,8,0.46,4700,10,78824,94,73,156.43,159.85,17,14
18,0.27,36216,121,10,0.95,1800,16,13026,8317,6115,123.57,121.53,13,1079
1,0.53,10267,130,9,0.65,3100,16,113,1248,1033,129.72,129.99,15,1083
3,0.91,72332,147,8,0.39,5300,2,13499,3008,1293,146.91,146.53,13,4
3,0.74,36419,152,7,0.61,4600,3,82046,4764,3764,154.30,152.42,6,11
14,0.07,102317,139,10,0.58,2700,4,78252,1734,416,137.16,137.91,11,6
1,0.55,53581,135,10,0.13,1900,16,13700,4787,2160,133.50,134.80,7,513
8,0.88,59006,128,10,0.16,2400,16,80455,5487,242,128.79,128.27,9,1079
6,0.04,91246,124,9,0.03,2300,4,14629,4001,4690,124.16,124.38,13,13
10,0.75,103956,163,8,0.46,5100,4,83293,1433,290,158.40,161.91,7,101
16,0.98,13606,116,9,0.15,2600,4,11255,3661,3047,120.90,116.77,11,19
1,0.39,58852,155,7,0.25,3500,10,14002,5031,4176,153.50,154.60,7,2
9,0.33,96249,114,9,0.83,1300,7,86072,47,592,114.38,113.68,8,40
1,0.67,55254,125,9,0.02,1900,16,86789,1419,473,121.56,123.74,9,513
7,0.08,98744,134,8,0.10,1900,3,81149,2972,3118,134.20,134.36,12,6
2,0.76,67951,158,7,0.75,4000,3,79534,2236,3619,157.40,158.32,11,27
2,0.45,4420,133,10,0.48,1500,16,11184,4222,67,130.44,132.10,13,393
8,0.90,29015,134,8,0.51,1800,7,11699,6949,2776,132.58,133.54,16,46
1,0.96,78511,130,9,7.226228e-03,2000,4,2572,1914,8504,128.00,129.65,5,47
9,0.73,65258,116,8,0.06,1800,16,83607,514,2670,122.60,117.56,5,1079
3,0.99,76640,130,10,0.76,1800,4,113,7250,3219,124.86,128.28,17,85
2,0.16,73519,123,9,0.26,1900,3,79202,6439,4290,126.00,123.60,6,6
16,0.73,88603,120,7,0.81,1800,4,84020,6879,8672,125.11,121.14,7,80
10,0.01,65949,114,9,0.80,2100,16,78920,21,1871,119.01,115.40,9,513
4,0.62,40303,120,7,0.75,1100,15,81149,7236,3979,121.96,120.53,12,394
2,0.06,99720,159,8,0.10,3700,2,9482,8306,2441,157.25,158.93,7,4
4,0.89,44565,134,6,0.83,1500,16,387,6286,5713,130.01,133.07,10,393
4,0.15,46811,142,9,0.22,5700,7,7891,1159,1062,149.67,144.14,10,24
10,0.55,51192,156,8,0.40,3600,10,8722,549,1009,157.54,156.30,16,87
4,0.52,14872,128,7,0.78,1300,17,12622,5266,396,127.96,127.91,8,1083
12,0.01,59200,163,9,0.47,4600,4,76025,2265,2034,152.86,161.18,12,8
7,0.56,23739,130,3,0.16,2200,3,83607,2346,1239,129.77,129.93,8,93
4,0.32,66366,166,9,0.99,5000,4,76035,3068,385,163.41,165.66,16,67
36,0.49,66406,156,9,0.99,3600,4,82330,1327,860,153.75,155.59,9,67
5,0.54,58476,118,10,0.88,1800,17,84467,34,767,116.10,117.22,9,394
11,0.88,55760,116,6,0.26,2200,16,13689,3783,1726,122.23,117.48,6,393
1,0.80,28163,128,9,0.69,2200,16,12602,6305,5379,126.32,127.55,6,1083
2,0.89,44434,158,7,0.05,4300,10,83050,512,4012,156.74,157.91,6,14
4,0.03,77578,120,6,0.97,1700,4,76957,243,6600,121.00,120.12,14,13
19,0.57,6997,127,10,0.97,1300,4,14694,965,6365,126.64,126.93,15,5
3,0.49,64281,129,11,0.29,1100,16,8563,1139,6768,124.97,128.10,10,1079
10,0.83,64200,151,4,0.64,4600,7,11415,5443,5336,150.46,150.81,20,11
2,0.48,88581,129,9,0.73,1500,4,77825,2912,9810,128.50,128.82,13,80
4,0.69,20552,136,9,0.43,1800,7,86013,6837,2900,132.51,135.63,10,54
16,0.99,21403,129,9,0.03,1100,4,82768,3280,215,124.63,128.01,11,80
1,0.04,10744,125,6,0.76,1500,7,13689,6806,3230,125.00,124.75,14,37
4,0.99,21962,125,10,0.83,2000,7,6901,1092,3003,124.46,124.74,9,104
5,0.01,45487,154,7,0.84,3500,7,82823,4209,264,155.52,154.15,5,28
5,0.79,84069,119,6,0.53,1500,3,13026,193,1474,121.19,119.47,14,15
2,0.60,12955,133,9,0.02,2600,7,10845,5169,1622,132.50,133.14,7,7
4,0.63,2440,138,9,0.58,1800,4,393,5530,3518,133.50,137.10,16,104
12,0.33,16405,126,10,0.69,3600,4,78223,4114,7534,123.59,125.42,17,6
2,0.30,14855,119,9,0.46,3100,17,11039,7234,2639,119.13,119.09,6,1083
1,0.88,69116,123,8,0.05,1100,4,79244,545,9515,124.50,123.54,10,37
4,0.63,14396,158,7,0.04,3600,4,80502,3663,1666,158.16,157.71,11,67
3,0.08,52211,133,10,0.12,1500,16,1078,7849,3369,131.75,132.80,11,393
3,0.08,63669,166,6,0.97,6800,7,9482,1066,548,164.66,165.95,16,11
5,0.73,61328,150,8,0.79,5300,4,77751,248,2282,153.37,150.57,9,34
3,0.72,77941,124,4,0.59,2500,4,10845,4986,1827,123.75,123.82,9,31
3,0.10,37529,120,9,0.23,3800,10,11255,6902,1910,119.38,119.74,8,5
2,0.39,86088,127,9,0.46,1100,4,2572,6853,1380,129.39,127.83,6,37
1,0.97,89229,133,8,0.70,2000,3,12421,7276,835,130.94,133.00,5,16
7,0.81,48501,142,8,0.11,4200,4,81266,1173,1418,148.10,143.41,11,73
1,0.76,22087,132,8,0.88,1800,7,1078,4084,3153,129.25,131.34,6,54
1,0.93,67497,159,8,0.99,4100,3,14002,5141,4349,155.97,158.14,6,20
8,0.03,29378,128,10,0.30,1600,16,82384,1809,2815,125.69,127.12,11,513
2,0.83,53830,114,9,0.57,1500,17,13700,9186,2162,118.88,115.18,9,1079
